method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.6487941868719799,0.9395716701073237,0.20182726004888507,176947200,0.1122448334870515
MaxLogit,0.6636775131306877,0.9305043764270188,0.2301033746371646,176947200,0.1122448334870515
Entropy,0.6519678924223057,0.9393431898624109,0.21474917572144103,176947200,0.1122448334870515
Energy,0.663840529350768,0.9305140717660454,0.23251347701034897,176947200,0.1122448334870515
Mahalanobis,0.5033350904397972,0.952643399809471,0.11580517901879533,176947200,0.1122448334870515
Mahalanobis++,0.63703933428757,0.8031530235602277,0.16592251092301258,176947200,0.1122448334870515
ReAct,0.5714001002579049,0.951452553719515,0.17207080263129376,176947200,0.1122448334870515
ASH,0.6965760708360655,0.8925193877019724,0.25594015453950103,176947200,0.1122448334870515
ACTSUB,0.5811485386458995,0.9532869844351486,0.19064444655896473,176947200,0.1122448334870515
ODIN,0.6605904457170099,0.9319496758303238,0.22771404530621928,176947200,0.1122448334870515
kNN,0.5796780393887263,0.9293292860587244,0.13939694456329893,176947200,0.1122448334870515
VIM,0.6529736942561433,0.9374625168994438,0.2156674693313035,176947200,0.1122448334870515
GEN,0.6491427500472602,0.9396609779938658,0.20577711904091198,176947200,0.1122448334870515
DICE,0.6638407071588563,0.9305140081065639,0.23251583175836715,176947200,0.1122448334870515
Gram,0.5096076075271148,0.949385523990518,0.1198868555720223,176947200,0.1122448334870515
SCALE,0.6439014808797853,0.941131550211311,0.2133879266775061,176947200,0.1122448334870515
KL_Matching,0.6519679358997756,0.939373466311794,0.2147490185229532,176947200,0.1122448334870515
