method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.6795714583591446,0.847524236653161,0.30167239241817195,176947200,0.18666614673755788
MaxLogit,0.7134543697085323,0.8285175092546998,0.3393399247989902,176947200,0.18666614673755788
Entropy,0.6878091030004109,0.8464330671700081,0.31623430700245325,176947200,0.18666614673755788
Energy,0.7154218435420944,0.8284042218513112,0.3425342299850748,176947200,0.18666614673755788
Mahalanobis,0.5028967502106088,0.9553513942619263,0.2021076305057598,176947200,0.18666614673755788
Mahalanobis++,0.5424544094171634,0.8770705697975616,0.19994878782286785,176947200,0.18666614673755788
ReAct,0.657275996156557,0.8654068589519298,0.2972305085236699,176947200,0.18666614673755788
ASH,0.6977179035046699,0.8353321315122225,0.32337924432613896,176947200,0.18666614673755788
ACTSUB,0.660007658859924,0.8675502449506574,0.30881185125702293,176947200,0.18666614673755788
ODIN,0.7117407896374766,0.8314916579642059,0.33781227280156145,176947200,0.18666614673755788
kNN,0.5658993749174831,0.928296279189746,0.21509978710011535,176947200,0.18666614673755788
VIM,0.711232417664041,0.8319244000027015,0.34090231436325097,176947200,0.18666614673755788
GEN,0.680628830713499,0.8475030369556795,0.30543139624836607,176947200,0.18666614673755788
DICE,0.7154232755058288,0.8284041454184459,0.342534187422092,176947200,0.18666614673755788
Gram,0.5052252618856378,0.9577035045191418,0.20568962654138628,176947200,0.18666614673755788
SCALE,0.707881868303972,0.842843640842577,0.33895946218081047,176947200,0.18666614673755788
KL_Matching,0.6878091058582946,0.8464350613729505,0.31623424582182935,176947200,0.18666614673755788
