method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.7645182200271129,0.6042344491226339,0.24266741975082218,35389440,0.09849257292570891
MaxLogit,0.7937107976547109,0.6142927044870425,0.28299417494511264,35389440,0.09849257292570891
Entropy,0.7762339339016585,0.6029597437525003,0.27412711560411934,35389440,0.09849257292570891
Energy,0.7955011164448539,0.6134956845167524,0.28316892773922003,35389440,0.09849257292570891
ReAct,0.826628022185522,0.5300167443777855,0.35049654387369744,35389440,0.09849257292570891
ASH,0.6453160430765424,0.9010307002827215,0.15752887310080665,35389440,0.09849257292570891
ACTSUB,0.7962161989871429,0.5746687632583949,0.2829599584410982,35389440,0.09849257292570891
ODIN,0.7944412044327009,0.6124819821862839,0.28449305146731263,35389440,0.09849257292570891
GEN,0.7664620256676864,0.6042342610575159,0.2542860611321596,35389440,0.09849257292570891
DICE,0.7954949914320418,0.6134964681214109,0.2830781922972662,35389440,0.09849257292570891
Gram,0.7636124257287102,0.7030218585265731,0.2363638919959833,35389440,0.09849257292570891
SCALE,0.8458095441723225,0.46989984874235996,0.34789091441984915,35389440,0.09849257292570891
KL_Matching,0.7762339243746449,0.6029595556873822,0.27412708112103246,35389440,0.09849257292570891
Mahalanobis,0.6956813733015926,0.8156907931122905,0.18870548172017995,35389440,0.09849257292570891
Mahalanobis++,0.8118558463231471,0.5213166012633651,0.29295772527717634,35389440,0.09849257292570891
kNN,0.604013161498595,0.8651503519497635,0.1252058124230861,35389440,0.09849257292570891
VIM,0.8275198498410772,0.53480234340421,0.3422173898918076,35389440,0.09849257292570891
