method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.695474140659363,0.8880456622167082,0.3101376575746216,176947200,0.18666614673755788
MaxLogit,0.6619870055041491,0.8366730141150379,0.30166999869041045,176947200,0.18666614673755788
Entropy,0.6977839444150051,0.8675897607420625,0.31799257785670554,176947200,0.18666614673755788
Energy,0.6591605294242155,0.8368035822944463,0.2919690563018948,176947200,0.18666614673755788
Mahalanobis,0.6661433290541284,0.7551641657045621,0.27125355033816,176947200,0.18666614673755788
Mahalanobis++,0.690231228034132,0.7378609948551788,0.286202300700034,176947200,0.18666614673755788
ReAct,0.7046828791433395,0.7935002505747265,0.3476821228296367,176947200,0.18666614673755788
ASH,0.5446736618133443,0.9551086295845718,0.20587554209468778,176947200,0.18666614673755788
ACTSUB,0.6669413504505786,0.8115671108212901,0.29766656757966486,176947200,0.18666614673755788
ODIN,0.7138000342890265,0.8735098474853046,0.3432375965759576,176947200,0.18666614673755788
kNN,0.7322992079464001,0.6911999465136704,0.3391382057535922,176947200,0.18666614673755788
VIM,0.6811489804170635,0.7601808020820424,0.291310042562816,176947200,0.18666614673755788
GEN,0.6957702071124495,0.8687305560001787,0.31244353881619336,176947200,0.18666614673755788
DICE,0.659160713526933,0.8368036170366577,0.2919657104367995,176947200,0.18666614673755788
Gram,0.5613933918078251,0.9323354573424426,0.21088630247732118,176947200,0.18666614673755788
SCALE,0.6694798412453876,0.8155654668754275,0.2783034992939313,176947200,0.18666614673755788
KL_Matching,0.6977627533075904,0.8698870130472569,0.31793898872402315,176947200,0.18666614673755788
