method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.810242219959913,0.6726583096103215,0.38033304694322817,11796480,0.11386430528428819
MaxLogit,0.8363034122312192,0.6278407106973676,0.4389443193206824,11796480,0.11386430528428819
Entropy,0.8249016700807287,0.6727257525435553,0.47124255506922164,11796480,0.11386430528428819
Energy,0.8319882179779406,0.6249398035946988,0.4152002334394753,11796480,0.11386430528428819
Mahalanobis,0.8026549973259665,0.46835778466514155,0.26358037580948496,11796480,0.11386430528428819
Mahalanobis++,0.7931089872573525,0.5133762774217705,0.27445789552612226,11796480,0.11386430528428819
ASH,0.5144312540742142,0.9800985948719263,0.11287086111077886,11796480,0.11386430528428819
ODIN,0.8708889958014697,0.6451065799238938,0.5965809083210242,11796480,0.11386430528428819
kNN,0.9052858340643977,0.5062150815408979,0.6574952727570559,11796480,0.11386430528428819
VIM,0.909571005760834,0.2900578976057472,0.4964280383306643,11796480,0.11386430528428819
GEN,0.8128232553696755,0.6726476909357272,0.40896695377549036,11796480,0.11386430528428819
DICE,0.831989094126018,0.6249398035946988,0.4151688990882976,11796480,0.11386430528428819
Gram,0.6366566871982561,0.8325757403272962,0.16021664179731768,11796480,0.11386430528428819
SCALE,0.7627254959925261,0.7033884668948949,0.2969647986583842,11796480,0.11386430528428819
KL_Matching,0.8249034993138025,0.6728442799113236,0.47123193672954067,11796480,0.11386430528428819
