method,auroc,fpr_at_95_tpr,ap,n_samples,ood_ratio
MSP,0.5586322751864308,1.0,0.17408572965557922,131530752,0.132656772159259
MaxLogit,0.5588082979176234,0.9419632549706548,0.15971491917088804,176947200,0.1122448334870515
Entropy,0.6175562778037427,0.9483574997562956,0.19627475734364894,176947200,0.1122448334870515
Energy,0.5559159960259006,0.9419622300530033,0.15471138801321657,176947200,0.1122448334870515
Mahalanobis,0.7110730114232273,0.8281117927464235,0.23213756864173202,176947200,0.1122448334870515
Mahalanobis++,0.7367399436048214,0.7785532290596573,0.2422526684060152,168689664,0.10509471997051342
ODIN,0.6021074465759534,0.9494986277912303,0.20404781959485485,176947200,0.1122448334870515
GEN,0.6163648730602128,0.9483537311149931,0.19184957675437259,176947200,0.1122448334870515
DICE,0.555817971545558,0.9419624464952403,0.15453732070513002,176947200,0.1122448334870515
Gram,0.6704082214067735,0.9532077156488329,0.21220794591225728,176947200,0.1122448334870515
KL_Matching,0.6175135587348005,1.0,0.19621392214324174,176947200,0.1122448334870515
ReAct,0.6693913999665168,0.8772831665008247,0.22823906532235144,44236800,0.11222507052951389
ASH,0.5301460039501035,0.9508705647707818,0.1211530169575913,44236800,0.11222507052951389
ACTSUB,0.6458078545552546,0.8418505531707547,0.19285959891988136,44236800,0.11222507052951389
kNN,0.7118259181913965,0.7169212963776371,0.23486564790371012,44236800,0.11222507052951389
VIM,0.717484351910602,0.7476044833814512,0.2468556600175373,44236800,0.11222507052951389
SCALE,0.6230207124331096,0.9145691207156021,0.1592520935347243,44236800,0.11222507052951389
